Page Title,URL,category/categories
Kagi Search,https://kagi.com/?focus=1,misc
PR local,file:///Users/eivind.throndsen@m10s.io/1-Projects/paralell-reader/reader/index.html,misc
TET Kollektivskjerm - Avganger,https://mon.ruter.no/departures/59.910357-10.753051/N4Igrgzgpgwg9gGzAWwHYBkCGBPOYAuIAXAGaYLQA0IARnJgE4AmExA2qE1AjlEwMr5G+ACoBLZFGIAGagAsxTLhjGoorIsAC+1VChpQGAeRIARKAAdhYBuuIBOavjH4EUoiCMQEcAAT8QaiYxCEwaNyYRBkxUCAs4BnwAWTguDTZaSBAAXWooVDCI4nwGMCh5RSgozABjAGt4JDRiMgpykAh8OAsABR4aqABJFnYQADl+ACUiQW6+2qgiAFZ7ADYAZgB2HJ1Obl4BIUTxSRkKpXz0VTtNHRA9ZANjM0trWw1HEGdXdxARTAAbm5fAR8r5vvhuIEQMFQuE+NVYvFEik0uxciB8oU+MVSu0FFxqvVGihUC1yFQOl1ev0hiMiGxsloMQDDBAxHAyUQAEznKAAQVQEkwzk5GlalIJUH4LjAIo5sXJbS0QA,misc
Lookup tool,https://document-lookup.m10s.io/,misc
Gemini,https://gemini.google.com/app,misc
m10s Okta,https://m10s.okta.com/app/UserHome?session_hint=AUTHENTICATED,misc
Vibe,https://vibe.vend.com/home/,misc
Lookup Tool,https://document-lookup.m10s.io/,misc
NotebookLM,https://notebooklm.google.com/?pli=1,misc
▶️ n8n ELT+1,https://n8n.dept-of-ai.com/workflow/nqat0BHBjDlJTkYI,misc
NotebookLM,https://notebooklm.google.com/,misc
Free Teleprompter Software [Voice Activated] Updated 2024,https://telepromptermirror.com/telepromptersoftware.htm,misc
Zendesk,https://m10s-customer-operations.zendesk.com/explore/studio#/dashboards/4FE42A117B9C2DC4968D2F0FAB4ED05105AE3D51F59C180BC5C3C422E150EC85,misc
m10s Okta,https://m10s.okta.com/app/UserHome?session_hint=AUTHENTICATED,misc
m10s - Logg inn,https://m10s.okta.com/app/m10s_sana_1/exklu0vsawvAip3Ar417/sso/saml?RelayState=eyJwYXRoIjoiLyJ9&SAMLRequest=lZJPT%2BMwEMW%2FSuR74rg0gVptpSwVohK7W9HCYS%2FVJJmChf9kPU4p3x43ZbVwAAnJB%2Bt53vj97JkSGN3Jqg%2BP9hb%2F9kghORhtSQ4HM9Z7Kx2QImnBIMnQyHX180aOslx23gXXOM3eWb52ABH6oJxlyXIxY9uymJR5UV6kTbnL0%2FHuok1raOsU6rqYQHsmzicFS%2B7RU%2FTMWGwRjUQ9Li0FsCFK%2BahI83FcGyHkqJQj8Ycli8ihLITB9RhCR5JzI3LK3FOArHGGQ9cNypbAwlZwPDzpPt8TPO8r1Z1VfizOOZHjRyqWrN5YfyjbKvvwNWZ9KiJ5vdms0tXv9YYl1T%2F0S2epN%2BjX6Peqwbvbm%2F8RNYK30amhzo65MlD8kHoEHZRBDvGbhjwcGmLz6XErh%2Ffw82%2B3MBighQBT%2Fr7N9DQQvyLTcrFyWjUvyZXzBsLnyCITg6LadDeUyt5Sh43aKWwjudbu%2BTImCDhjwffIEj4%2F3fpx8uav,misc
Tana,https://app.tana.inc/welcome/app?ampDeviceId=b3a9c278-4177-4444-968a-345e3f6d3744&wsid=bkVkyeGImOC-,misc
Jupyter,http://localhost:8888/tree,misc
n8n,https://vannman.app.n8n.cloud/home/workflows,misc
Learning Lab,https://schibsted.sana.ai/,misc
Nimway Maps,https://app.nimway.com/maps,misc
Viewfinder,https://cdw.schibsted.io/#/view/schibsted-account-kpis/schibsted%20account%20kpis,misc
You.com | AI for workplace productivity,https://you.com/,misc
Planet Earth Texture Maps - High Resolution,https://planetpixelemporium.com/earth8081.html?PayerID=87TSXRRZTSQS4,misc
"Xeric Design, Ltd. | Purchase",https://www.xericdesign.com/purchase-checkout.php,misc
The link between modern management and slavery,https://www.welcometothejungle.com/en/articles/modern-management-link-to-slavery,misc
Word2vec: fish + music = bass | graceavery,https://graceavery.com/word2vec-fish-music-bass/,misc
New course | Learning Lab,https://learninglab.sana.ai/create/s/uQXoohNzKhc3/file:CDyuArqBiDaW,misc
New course | Learning Lab,https://learninglab.sana.ai/create/s/uQXoohNzKhc3/file:Bd1uyxv8q8Zk,misc
Reindrift - Rådet for dyreetikk,https://www.radetfordyreetikk.no/reindrift-2/,misc
Granite Docling 258M WebGPU - a Hugging Face Space by ibm-granite,https://huggingface.co/spaces/ibm-granite/granite-docling-258M-WebGPU,misc
Journey of a thousand miles – visual frameworks,https://visualframeworks.com/portfolio/journey-of-a-thousand-miles/,misc
New course | Learning Lab,https://learninglab.sana.ai/create/s/zk4NELCDLoVs/file:B1bRiudonGjH,misc
New course | Learning Lab,https://learninglab.sana.ai/create/s/b2otqVt6GZwL/file:g2uRnQ1V4uYr,misc
New course | Learning Lab,https://learninglab.sana.ai/create/s/b2otqVt6GZwL/file:ZB7xNtowbrRk,misc
Håndbokportal,https://handbooks.simployer.com/?sasId=225f6505-b01d-4a25-b212-e4d91f073400,misc
New course | Learning Lab,https://learninglab.sana.ai/create/s/zwYY8R6S7Jp3/file:53yVqRFRrhYQ,misc
Bob the Builder Module 7 - Building safely with AI  | Learning Lab,https://learninglab.sana.ai/create/s/EwfbW6R4aSpX/file:fUCjTMxnqqn5,misc
